ID,ParentId,Name,ShortName,MergerName,山西,LevelType,CityCode,ZipCode,lng,Lat,port mapping,border maping
100000,0,中国,中国,中国,China,0,,,1.163.683.244,39.915.085,,
110000,100000,北京,北京,"中国,北京",Beijing,1,,,116.405.285,39.904.989,1A4,
110100,110000,北京市,北京,"中国,北京,北京市",Beijing,2,10,100000,116.405.285,39.904.989,1A4,
110101,110100,东城区,东城,"中国,北京,北京市,东城区",Dongcheng,3,10,100010,11.641.005,3.993.157,,
110102,110100,西城区,西城,"中国,北京,北京市,西城区",Xicheng,3,10,100032,11.636.003,399.305,,
110105,110100,朝阳区,朝阳,"中国,北京,北京市,朝阳区",Chaoyang,3,10,100020,11.648.548,399.484,,
110106,110100,丰台区,丰台,"中国,北京,北京市,丰台区",Fengtai,3,10,100071,11.628.625,398.585,,
110107,110100,石景山区,石景山,"中国,北京,北京市,石景山区",Shijingshan,3,10,100043,1.162.229,3.990.564,,
110108,110100,海淀区,海淀,"中国,北京,北京市,海淀区",Haidian,3,10,100089,11.629.812,3.995.931,,
110109,110100,门头沟区,门头沟,"中国,北京,北京市,门头沟区",Mentougou,3,10,102300,11.610.137,3.994.043,,
110111,110100,房山区,房山,"中国,北京,北京市,房山区",Fangshan,3,10,102488,11.614.257,3.974.786,,
110112,110100,通州区,通州,"中国,北京,北京市,通州区",Tongzhou,3,10,101149,11.665.716,3.990.966,,
110113,110100,顺义区,顺义,"中国,北京,北京市,顺义区",Shunyi,3,10,101300,11.665.417,401.302,,
110114,110100,昌平区,昌平,"中国,北京,北京市,昌平区",Changping,3,10,102200,1.162.312,4.022.072,,
110115,110100,大兴区,大兴,"中国,北京,北京市,大兴区",Daxing,3,10,102600,11.634.149,3.972.668,,
110116,110100,怀柔区,怀柔,"中国,北京,北京市,怀柔区",Huairou,3,10,101400,11.663.168,4.031.602,,
110117,110100,平谷区,平谷,"中国,北京,北京市,平谷区",Pinggu,3,10,101200,11.712.133,4.014.056,,
110228,110100,密云县,密云,"中国,北京,北京市,密云县",Miyun,3,10,101500,11.684.295,4.037.618,,
110229,110100,延庆县,延庆,"中国,北京,北京市,延庆县",Yanqing,3,10,102100,11.597.494,4.045.672,,
120000,100000,天津,天津,"中国,天津",Tianjin,1,,,117.190.182,39.125.596,1A4,
120100,120000,天津市,天津,"中国,天津,天津市",Tianjin,2,22,300000,117.190.182,39.125.596,1A4,
120101,120100,和平区,和平,"中国,天津,天津市,和平区",Heping,3,22,300041,11.721.456,3.911.718,,
120102,120100,河东区,河东,"中国,天津,天津市,河东区",Hedong,3,22,300171,11.722.562,3.912.318,,
120103,120100,河西区,河西,"中国,天津,天津市,河西区",Hexi,3,22,300202,11.722.327,3.910.959,,
120104,120100,南开区,南开,"中国,天津,天津市,南开区",Nankai,3,22,300110,11.715.074,3.913.821,,
120105,120100,河北区,河北,"中国,天津,天津市,河北区",Hebei,3,22,300143,11.719.697,3.914.816,,
120106,120100,红桥区,红桥,"中国,天津,天津市,红桥区",Hongqiao,3,22,300131,11.715.145,3.916.715,,
120110,120100,东丽区,东丽,"中国,天津,天津市,东丽区",Dongli,3,22,300300,11.731.436,390.863,,
120111,120100,西青区,西青,"中国,天津,天津市,西青区",Xiqing,3,22,300380,11.700.927,3.914.123,,
120112,120100,津南区,津南,"中国,天津,天津市,津南区",Jinnan,3,22,300350,11.738.537,3.899.139,,
120113,120100,北辰区,北辰,"中国,天津,天津市,北辰区",Beichen,3,22,300400,11.713.217,3.922.131,,
120114,120100,武清区,武清,"中国,天津,天津市,武清区",Wuqing,3,22,301700,11.704.443,3.938.415,,
120115,120100,宝坻区,宝坻,"中国,天津,天津市,宝坻区",Baodi,3,22,301800,1.173.103,3.971.761,,
120116,120100,滨海新区,滨海新区,"中国,天津,天津市,滨海新区",Binhaixinqu,3,22,300451,11.770.162,3.902.668,,
120221,120100,宁河县,宁河,"中国,天津,天津市,宁河县",Ninghe,3,22,301500,1.178.255,3.933.048,,
120223,120100,静海县,静海,"中国,天津,天津市,静海县",Jinghai,3,22,301600,11.697.436,3.894.582,,
120225,120100,蓟县,蓟县,"中国,天津,天津市,蓟县",Jixian,3,22,301900,11.740.799,4.004.567,,
130000,100000,河北省,河北,"中国,河北省",Hebei,1,,,114.502.461,38.045.474,1A4,
130100,130000,石家庄市,石家庄,"中国,河北省,石家庄市",Shijiazhuang,2,311,50011,114.502.461,38.045.474,1A4,
130102,130100,长安区,长安,"中国,河北省,石家庄市,长安区",Chang'an,3,311,50011,11.453.906,3.803.665,,
130104,130100,桥西区,桥西,"中国,河北省,石家庄市,桥西区",Qiaoxi,3,311,50091,11.446.977,3.803.221,,
130105,130100,新华区,新华,"中国,河北省,石家庄市,新华区",Xinhua,3,311,50051,11.446.326,3.805.088,,
130107,130100,井陉矿区,井陉矿区,"中国,河北省,石家庄市,井陉矿区",Jingxingkuangqu,3,311,50100,11.406.518,3.806.705,,
130108,130100,裕华区,裕华,"中国,河北省,石家庄市,裕华区",Yuhua,3,311,50031,11.453.115,3.800.604,,
130109,130100,藁城区,藁城,"中国,河北省,石家庄市,藁城区",Gaocheng,3,311,52160,11.484.671,3.802.162,,
130110,130100,鹿泉区,鹿泉,"中国,河北省,石家庄市,鹿泉区",Luquan,3,311,50200,11.431.347,3.808.782,,
130111,130100,栾城区,栾城,"中国,河北省,石家庄市,栾城区",Luancheng,3,311,51430,11.464.834,3.790.022,,
130121,130100,井陉县,井陉,"中国,河北省,石家庄市,井陉县",Jingxing,3,311,50300,11.414.257,3.803.688,,
130123,130100,正定县,正定,"中国,河北省,石家庄市,正定县",Zhengding,3,311,50800,11.457.296,3.814.445,,
130125,130100,行唐县,行唐,"中国,河北省,石家庄市,行唐县",Xingtang,3,311,50600,11.455.316,3.843.654,,
